document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,31772.658908251688,1.2218657110934017,48.60097564515007
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,6371.6983991702145,1.072152612747891,33.344633557274
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,10890.632366444293,1.0581375166163547,27.320868043485806
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,6999.030529957701,1.0661834458634585,35.35650258719913
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,103302.1079310314,1.1379205423014558,30.33664515269458
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,39305.10723686212,1.0418126687277158,32.7124136963885
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,36498.93119175994,1.1537797653792368,31.656557323142895
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,126451.34629498434,1.1305230535673967,19.750132129044268
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,4850.4897195910125,1.075070828875992,40.1184460287226
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,5849.647380151324,1.051192402241285,33.7538636941873
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,11628.616368370589,1.0517766102127963,32.24701323384168
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,48326.799771455,1.057649428306838,34.02433094691128
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,608.5605212964583,1.052439244775762,33.08354330115122
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,19368.395123495466,1.068024599550862,27.86907599577068
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,43236.380167054755,1.1373030702359332,28.11852998232671
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,37848.859180307285,1.051909863135784,26.399547133105663
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,4687.532697323008,1.065390838233757,25.552918008418626
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,22723.61122961617,1.1799888760237578,41.74308086358031
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,21057.836671395413,1.130187604236359,31.098016259311393
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,16536.09017861315,1.1304470971419762,20.84673956493819
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,20292.962068466433,1.148621545961234,29.451226150764278
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,14010.467480799594,1.0579757306251223,28.807743052183387
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,208817.79929883967,1.1636485303796107,26.99967416307625
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,38602.26855917746,1.1421392736145044,36.88451883112296
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,55248.533933133804,1.1349845998365726,29.925861018476418
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,27943.911813912346,1.148050950148967,33.758531819297154
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,13513.661379755966,1.1599589397367636,41.36572885335364
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,18372.664450437464,1.2384841232203652,53.85163246626782
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,12934.647485064757,1.150812689947949,29.182076536101413
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,85807.12012593704,1.1444911668599367,30.80114621583602
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,29837.59175892834,1.0598249282877144,37.27532228289578
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,1338.3877664797983,1.0547143278316724,39.14705145691036
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,32689.12818450771,1.139226662100797,24.41754510076648
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,32466.2323630596,1.0684269740842691,24.927703347653598
